farmer_id,county,crop_type,farm_size_acres,rainfall_received_mm,soil_quality_score,fertilizer_used,years_insured,previous_claims_3yr,distance_to_market_km,claim_filed
KE-FARM-0045,Trans Nzoia,Wheat,10.3,772.0,10,1,9,0,3.5,0
KE-FARM-0046,Trans Nzoia,Maize,2.5,464.8,2,0,7,2,21.5,1
KE-FARM-0047,Kitui,Wheat,2.8,750.2,3,1,15,1,23.2,0
KE-FARM-0048,Kitui,Sunflower,1.5,465.5,7,1,4,1,3.4,0
KE-FARM-0049,Trans Nzoia,Wheat,9.0,165.7,9,1,15,0,1.7,0
KE-FARM-0050,Meru,Beans,4.1,596.9,3,1,1,3,1.6,1
KE-FARM-0051,Trans Nzoia,Beans,1.4,834.5,8,0,7,1,6.6,0
KE-FARM-0052,Nakuru,Beans,1.4,809.6,9,0,10,3,1.4,0
KE-FARM-0053,Nakuru,Beans,8.9,656.6,10,1,6,1,6.4,0
KE-FARM-0054,Meru,Sunflower,0.5,518.7,7,0,3,0,6.2,0
KE-FARM-0055,Laikipia,Sorghum,1.6,673.0,4,1,14,1,21.6,0
KE-FARM-0056,Uasin Gishu,Maize,3.2,559.6,4,0,5,0,3.5,1
KE-FARM-0057,Nyandarua,Beans,0.6,523.0,4,0,3,0,8.2,0
KE-FARM-0058,Nyandarua,Wheat,0.5,759.3,6,0,8,0,13.6,0
KE-FARM-0059,Meru,Beans,6.8,521.1,4,1,5,0,9.1,0
KE-FARM-0060,Nakuru,Wheat,9.0,769.1,5,1,10,0,30.8,0
KE-FARM-0061,Kitui,Wheat,6.9,511.2,9,0,10,1,9.2,0
KE-FARM-0062,Nyandarua,Beans,9.2,908.8,7,0,6,0,23.2,0
KE-FARM-0063,Nakuru,Sunflower,3.2,353.9,8,1,2,0,2.8,0
KE-FARM-0064,Laikipia,Wheat,6.7,456.5,5,0,8,1,8.2,0
KE-FARM-0065,Uasin Gishu,Wheat,1.9,576.7,5,1,9,0,7.8,0
KE-FARM-0066,Laikipia,Beans,4.4,302.4,7,1,3,0,45.5,0
KE-FARM-0067,Meru,Wheat,18.0,214.4,8,1,13,0,2.3,0
KE-FARM-0068,Trans Nzoia,Wheat,1.0,303.7,9,1,15,1,1.5,0
KE-FARM-0069,Trans Nzoia,Beans,2.0,556.2,2,1,6,1,9.5,0
KE-FARM-0070,Trans Nzoia,Beans,2.6,560.0,3,1,6,2,2.5,0
KE-FARM-0071,Laikipia,Maize,0.6,649.9,2,1,2,0,10.2,0
KE-FARM-0072,Nyandarua,Sunflower,0.5,570.4,10,1,10,0,35.9,0
KE-FARM-0073,Uasin Gishu,Sunflower,7.1,644.9,7,0,8,1,29.3,0
KE-FARM-0074,Trans Nzoia,Wheat,15.1,532.5,2,1,5,1,2.6,0
KE-FARM-0075,Meru,Sunflower,2.1,707.2,2,0,11,0,1.9,0
KE-FARM-0076,Meru,Wheat,0.5,689.1,2,1,11,0,8.2,0
KE-FARM-0077,Trans Nzoia,Maize,0.5,551.0,4,1,8,0,8.8,0
KE-FARM-0078,Trans Nzoia,Beans,8.9,680.0,1,0,14,0,10.9,1
KE-FARM-0079,Uasin Gishu,Beans,2.5,571.4,2,0,13,0,13.5,0
KE-FARM-0080,Trans Nzoia,Beans,1.5,371.7,3,1,14,1,9.2,0
KE-FARM-0081,Uasin Gishu,Sunflower,2.6,735.7,7,1,8,2,1.2,0
KE-FARM-0082,Meru,Maize,1.5,464.0,10,1,15,1,15.6,0
KE-FARM-0083,Trans Nzoia,Sunflower,2.7,734.1,1,1,12,0,1.0,1
KE-FARM-0084,Laikipia,Sunflower,7.9,648.6,6,0,3,1,1.0,0
KE-FARM-0085,Kitui,Maize,3.6,587.3,3,1,5,1,14.7,0
KE-FARM-0086,Laikipia,Maize,4.7,318.5,3,1,7,2,7.9,1
KE-FARM-0087,Meru,Maize,1.8,831.0,4,1,5,1,12.0,0
KE-FARM-0088,Uasin Gishu,Maize,5.4,545.5,4,0,6,0,4.8,0
KE-FARM-0089,Laikipia,Beans,4.4,695.2,7,1,2,0,1.0,0
KE-FARM-0090,Uasin Gishu,Sorghum,0.5,582.9,3,0,8,1,4.0,0
KE-FARM-0091,Laikipia,Sorghum,3.4,559.3,8,0,5,1,9.4,0
KE-FARM-0092,Laikipia,Maize,1.2,628.9,8,1,6,0,2.6,0
KE-FARM-0093,Uasin Gishu,Sorghum,6.5,604.0,7,0,1,0,11.6,0
KE-FARM-0094,Nyandarua,Sorghum,2.2,560.0,2,0,10,0,15.8,0
KE-FARM-0095,Laikipia,Maize,20.9,591.7,5,1,2,1,6.1,0
KE-FARM-0096,Trans Nzoia,Sorghum,0.5,664.1,6,1,11,1,20.9,0
KE-FARM-0097,Kitui,Sunflower,6.1,674.7,10,1,4,0,19.3,0
KE-FARM-0098,Meru,Wheat,4.5,606.5,4,1,11,0,21.0,0
KE-FARM-0099,Nyandarua,Wheat,5.8,693.1,10,1,9,0,10.8,0
KE-FARM-0100,Uasin Gishu,Maize,1.5,536.4,5,0,6,4,3.6,0
KE-FARM-0101,Nyandarua,Beans,2.7,933.7,9,1,8,1,6.6,0
KE-FARM-0102,Nakuru,Maize,6.4,822.8,7,1,2,1,12.4,0
KE-FARM-0103,Nakuru,Beans,1.1,714.4,2,1,10,0,2.4,1
KE-FARM-0104,Laikipia,Wheat,1.0,308.8,1,0,15,1,13.4,0
KE-FARM-0105,Laikipia,Maize,3.2,690.9,2,0,5,1,7.9,0
KE-FARM-0106,Trans Nzoia,Sunflower,3.0,549.5,3,1,12,1,1.0,0
KE-FARM-0107,Kitui,Sorghum,1.3,453.2,2,1,12,0,8.1,0
KE-FARM-0108,Meru,Beans,1.4,545.7,3,1,13,1,1.0,0
KE-FARM-0109,Nyandarua,Sorghum,1.3,469.8,10,1,1,3,1.0,0
KE-FARM-0110,Nakuru,Sorghum,5.9,676.0,9,0,4,0,22.0,0
KE-FARM-0111,Laikipia,Maize,4.2,842.4,4,1,10,3,6.7,0
KE-FARM-0112,Meru,Sorghum,7.1,723.9,9,1,1,1,7.8,0
KE-FARM-0113,Nyandarua,Sunflower,14.8,1014.4,3,1,11,2,3.3,0
KE-FARM-0114,Laikipia,Sorghum,2.6,367.0,1,0,11,0,7.8,0
KE-FARM-0115,Laikipia,Maize,0.5,524.1,5,1,9,1,1.8,0
KE-FARM-0116,Nakuru,Sunflower,0.5,458.5,10,1,2,0,13.7,0
KE-FARM-0117,Nakuru,Wheat,1.4,784.4,10,0,7,0,17.3,0
KE-FARM-0118,Laikipia,Sorghum,10.8,566.9,2,1,3,0,19.4,0
KE-FARM-0119,Uasin Gishu,Maize,3.0,628.4,4,0,14,0,1.1,0
KE-FARM-0120,Laikipia,Wheat,1.3,695.1,2,1,2,3,8.2,0
KE-FARM-0121,Meru,Wheat,2.0,381.8,2,1,13,0,16.5,0
KE-FARM-0122,Laikipia,Beans,3.7,506.8,3,0,4,3,1.4,1
KE-FARM-0123,Trans Nzoia,Sunflower,4.2,749.6,5,0,7,2,1.0,1
KE-FARM-0124,Kitui,Sorghum,0.7,517.8,4,1,7,0,17.0,0
KE-FARM-0125,Trans Nzoia,Maize,15.1,343.0,2,1,9,2,15.9,1
KE-FARM-0126,Trans Nzoia,Beans,3.1,464.7,10,1,12,0,6.0,0
KE-FARM-0127,Uasin Gishu,Sunflower,0.6,557.1,2,0,13,0,1.2,0
KE-FARM-0128,Uasin Gishu,Beans,9.0,625.0,6,1,3,2,7.3,0
KE-FARM-0129,Laikipia,Sunflower,0.5,589.4,7,0,7,0,5.0,0
KE-FARM-0130,Trans Nzoia,Sunflower,9.5,507.9,10,1,6,1,7.3,0
KE-FARM-0131,Uasin Gishu,Sorghum,22.7,740.9,6,1,10,1,5.8,0
KE-FARM-0132,Nakuru,Sunflower,4.8,580.6,7,1,7,2,8.4,1
KE-FARM-0133,Laikipia,Beans,5.9,631.4,1,1,7,3,13.0,0
KE-FARM-0134,Meru,Sunflower,1.6,515.9,6,0,10,1,14.9,0
KE-FARM-0135,Kitui,Sorghum,11.4,826.3,3,0,5,0,10.5,0
KE-FARM-0136,Nyandarua,Sorghum,3.0,541.3,1,1,9,1,2.2,0
KE-FARM-0137,Laikipia,Beans,5.3,611.2,8,1,7,1,5.1,0
KE-FARM-0138,Nyandarua,Wheat,10.3,755.2,4,1,7,2,1.0,0
KE-FARM-0139,Trans Nzoia,Wheat,14.8,642.0,10,1,12,1,6.0,0
KE-FARM-0140,Kitui,Sunflower,7.2,638.3,8,1,14,0,35.2,0
KE-FARM-0141,Nyandarua,Maize,1.4,304.0,10,1,3,0,10.3,0
KE-FARM-0142,Trans Nzoia,Sunflower,13.6,702.1,4,1,1,1,1.7,0
KE-FARM-0143,Nakuru,Beans,4.0,608.3,4,0,14,2,3.1,0
KE-FARM-0144,Nyandarua,Beans,10.7,681.2,10,0,14,1,1.0,0
KE-FARM-0145,Kitui,Beans,4.5,627.5,4,1,5,2,2.0,0
KE-FARM-0146,Laikipia,Beans,1.5,516.1,6,1,8,1,6.7,0
KE-FARM-0147,Trans Nzoia,Beans,1.8,734.1,9,1,5,0,4.2,0
KE-FARM-0148,Laikipia,Sorghum,3.2,629.7,5,0,10,1,2.3,0
KE-FARM-0149,Kitui,Wheat,6.2,406.6,10,1,3,1,1.6,0
KE-FARM-0150,Uasin Gishu,Beans,1.5,796.3,8,0,9,2,10.7,0
KE-FARM-0151,Trans Nzoia,Maize,3.5,385.4,8,1,2,2,8.2,0
KE-FARM-0152,Nyandarua,Maize,1.7,735.1,4,0,15,0,18.5,0
KE-FARM-0153,Trans Nzoia,Maize,6.8,823.0,10,0,3,0,2.0,0
KE-FARM-0154,Laikipia,Maize,2.5,434.1,9,0,12,0,18.8,0
KE-FARM-0155,Nakuru,Sorghum,0.5,581.6,9,0,4,0,8.6,0
KE-FARM-0156,Trans Nzoia,Maize,0.7,567.6,5,1,10,2,3.1,0
KE-FARM-0157,Nyandarua,Beans,0.5,574.4,6,0,1,0,3.2,1
KE-FARM-0158,Uasin Gishu,Sunflower,2.8,874.5,5,0,11,0,4.9,0
KE-FARM-0159,Meru,Maize,0.5,435.8,3,1,4,1,6.2,1
KE-FARM-0160,Nakuru,Sorghum,0.5,554.0,8,1,4,1,1.0,0
KE-FARM-0161,Uasin Gishu,Sorghum,11.3,825.5,9,0,9,1,18.5,0
KE-FARM-0162,Trans Nzoia,Maize,8.2,551.6,4,0,8,0,1.3,0
KE-FARM-0163,Laikipia,Sunflower,2.4,459.6,9,1,2,0,6.6,0
KE-FARM-0164,Kitui,Maize,17.0,639.5,9,1,13,0,4.8,0
KE-FARM-0165,Laikipia,Sorghum,0.5,720.8,7,1,7,1,7.2,0
KE-FARM-0166,Nyandarua,Wheat,3.8,541.1,8,1,6,0,21.8,0
KE-FARM-0167,Laikipia,Beans,3.8,683.2,3,0,7,1,45.2,0
KE-FARM-0168,Nakuru,Sorghum,2.4,393.5,5,0,11,0,1.0,0
KE-FARM-0169,Laikipia,Maize,2.0,401.8,3,1,4,2,5.0,0
KE-FARM-0170,Nyandarua,Beans,2.4,534.0,7,1,14,2,17.0,0
KE-FARM-0171,Meru,Maize,2.1,688.5,6,0,14,1,4.0,0
KE-FARM-0172,Trans Nzoia,Maize,5.2,714.2,3,1,5,2,10.5,0
KE-FARM-0173,Kitui,Wheat,0.6,422.7,9,0,6,1,48.6,0
KE-FARM-0174,Trans Nzoia,Beans,0.9,708.7,1,0,9,0,10.4,0
KE-FARM-0175,Laikipia,Beans,0.8,625.0,10,0,2,0,1.2,0
KE-FARM-0176,Uasin Gishu,Wheat,1.2,468.1,3,0,11,1,18.5,0
KE-FARM-0177,Trans Nzoia,Sorghum,3.0,399.9,10,1,9,0,34.0,1
KE-FARM-0178,Meru,Maize,0.5,634.5,7,1,10,3,12.5,0
KE-FARM-0179,Laikipia,Sunflower,8.1,793.4,3,0,1,2,5.4,1
KE-FARM-0180,Kitui,Maize,1.4,605.3,3,1,4,0,29.6,0
KE-FARM-0181,Nyandarua,Maize,0.7,459.8,2,1,12,2,34.6,1
KE-FARM-0182,Meru,Sorghum,4.5,319.8,9,1,5,0,27.4,0
KE-FARM-0183,Laikipia,Maize,0.5,829.4,4,1,9,1,5.3,0
KE-FARM-0184,Meru,Wheat,3.9,756.3,10,0,15,0,15.6,0
KE-FARM-0185,Trans Nzoia,Wheat,4.8,645.3,6,1,6,1,10.6,0
KE-FARM-0186,Kitui,Beans,1.0,821.7,2,1,4,2,2.0,1
KE-FARM-0187,Nyandarua,Sunflower,0.5,633.6,9,1,2,1,7.7,0
KE-FARM-0188,Laikipia,Maize,1.8,520.3,7,1,5,0,13.8,0
KE-FARM-0189,Nakuru,Maize,0.5,683.3,10,0,8,1,22.6,0
KE-FARM-0190,Nyandarua,Sorghum,0.5,475.5,5,1,8,0,19.8,0
KE-FARM-0191,Nakuru,Wheat,1.2,450.7,7,0,6,1,1.7,0
KE-FARM-0192,Meru,Sunflower,1.4,715.7,4,0,11,0,6.7,0
KE-FARM-0193,Uasin Gishu,Beans,3.0,728.4,10,0,1,0,6.5,0
KE-FARM-0194,Nyandarua,Wheat,4.5,408.9,7,1,15,1,22.9,0
KE-FARM-0195,Meru,Beans,3.6,414.5,2,0,8,0,1.0,0
KE-FARM-0196,Nakuru,Sorghum,0.6,533.2,7,1,4,0,13.4,0
KE-FARM-0197,Trans Nzoia,Sorghum,0.8,493.3,4,1,15,0,9.6,0
KE-FARM-0198,Trans Nzoia,Maize,8.4,671.5,4,1,14,1,25.5,0
KE-FARM-0199,Uasin Gishu,Sunflower,3.3,607.2,1,0,2,1,6.1,0
KE-FARM-0200,Nyandarua,Beans,8.2,774.7,3,1,1,0,10.7,0
KE-FARM-0201,Nyandarua,Wheat,1.9,647.6,5,1,7,0,36.0,0
KE-FARM-0202,Nyandarua,Sorghum,3.8,503.3,5,1,2,0,13.6,0
KE-FARM-0203,Meru,Maize,3.0,316.3,2,1,13,0,1.0,1
KE-FARM-0204,Kitui,Maize,1.5,626.9,4,1,4,0,1.8,0
KE-FARM-0205,Kitui,Beans,2.5,343.5,1,1,4,0,17.2,0
KE-FARM-0206,Uasin Gishu,Sorghum,2.8,501.5,9,1,13,1,4.1,0
KE-FARM-0207,Nyandarua,Sunflower,0.9,491.7,1,0,10,0,12.2,1
KE-FARM-0208,Meru,Sorghum,1.5,523.7,6,1,15,0,12.0,0
KE-FARM-0209,Trans Nzoia,Beans,6.3,402.6,7,1,1,0,50.7,0
KE-FARM-0210,Nakuru,Beans,9.9,491.2,3,1,2,1,6.3,0
KE-FARM-0211,Meru,Sorghum,1.8,771.9,1,1,1,0,13.4,0
KE-FARM-0212,Kitui,Beans,1.5,771.5,7,0,6,0,1.0,0
KE-FARM-0213,Kitui,Sorghum,0.9,829.9,3,1,13,0,6.2,0
KE-FARM-0214,Trans Nzoia,Wheat,4.5,601.5,10,1,3,2,2.1,0
KE-FARM-0215,Trans Nzoia,Sorghum,1.6,640.7,6,1,1,1,18.4,0
KE-FARM-0216,Nakuru,Sorghum,17.6,774.1,6,0,12,0,18.3,0
KE-FARM-0217,Trans Nzoia,Beans,1.6,379.4,4,1,8,0,2.7,0
KE-FARM-0218,Uasin Gishu,Beans,2.0,720.8,6,1,14,1,3.8,0
KE-FARM-0219,Nakuru,Maize,3.7,795.4,10,0,12,1,12.1,0
KE-FARM-0220,Trans Nzoia,Maize,6.5,466.7,4,0,14,0,13.4,0
KE-FARM-0221,Laikipia,Wheat,2.5,807.4,8,1,4,3,10.7,0
KE-FARM-0222,Meru,Maize,2.2,908.7,9,0,10,0,57.1,0
KE-FARM-0223,Trans Nzoia,Sorghum,21.7,716.7,2,1,7,0,20.3,0
KE-FARM-0224,Uasin Gishu,Beans,0.5,689.2,7,0,10,0,5.4,0
KE-FARM-0225,Nyandarua,Maize,9.0,432.0,9,1,2,0,4.0,0
KE-FARM-0226,Trans Nzoia,Maize,0.6,760.4,9,1,15,3,9.1,1
KE-FARM-0227,Kitui,Wheat,6.2,446.2,5,1,6,2,17.0,0
KE-FARM-0228,Kitui,Wheat,3.8,655.5,1,1,6,0,6.5,0
KE-FARM-0229,Kitui,Sorghum,1.7,670.7,6,1,7,1,13.4,0
KE-FARM-0230,Nyandarua,Beans,8.3,105.6,8,1,12,1,1.0,0
KE-FARM-0231,Kitui,Wheat,0.5,660.9,1,0,1,0,26.0,1
KE-FARM-0232,Laikipia,Maize,1.0,993.2,2,1,14,1,14.9,0
KE-FARM-0233,Trans Nzoia,Beans,3.3,286.2,1,0,12,1,5.0,1
KE-FARM-0234,Kitui,Beans,1.7,591.9,5,1,1,2,4.8,0
KE-FARM-0235,Nakuru,Maize,3.8,307.9,2,0,15,0,1.1,0
KE-FARM-0236,Nyandarua,Wheat,0.5,465.9,10,0,2,1,16.9,0
KE-FARM-0237,Laikipia,Maize,0.5,310.5,10,1,14,0,14.6,0
KE-FARM-0238,Nakuru,Beans,0.5,623.9,4,0,11,0,9.9,0
KE-FARM-0239,Nakuru,Sunflower,0.8,719.0,1,0,2,1,1.1,0
KE-FARM-0240,Nakuru,Sunflower,2.5,661.5,7,1,5,0,3.0,1
KE-FARM-0241,Nakuru,Sorghum,5.6,460.5,8,1,1,2,6.1,0
KE-FARM-0242,Trans Nzoia,Maize,9.4,508.6,5,1,11,1,3.1,0
KE-FARM-0243,Kitui,Maize,7.2,640.8,2,1,2,0,5.7,1
KE-FARM-0244,Meru,Sorghum,0.9,465.2,8,0,6,0,2.6,0
KE-FARM-0245,Trans Nzoia,Sorghum,2.3,400.7,1,1,3,0,4.3,1
KE-FARM-0246,Trans Nzoia,Sorghum,0.9,564.1,7,0,4,2,10.6,1
KE-FARM-0247,Laikipia,Beans,1.2,458.3,1,1,1,0,22.3,0
KE-FARM-0248,Laikipia,Maize,2.8,661.7,6,1,5,1,4.9,0
KE-FARM-0249,Kitui,Beans,0.5,794.8,6,1,4,0,11.8,0
KE-FARM-0250,Meru,Sorghum,1.0,989.6,5,1,8,2,1.4,0
KE-FARM-0251,Laikipia,Maize,11.0,650.7,2,0,3,1,7.8,0
KE-FARM-0252,Kitui,Beans,2.5,696.9,2,1,10,1,25.5,0
KE-FARM-0253,Kitui,Beans,2.4,510.1,9,1,1,1,1.0,0
KE-FARM-0254,Uasin Gishu,Sorghum,0.5,519.4,5,0,14,0,3.1,0
KE-FARM-0255,Meru,Maize,1.1,792.6,5,0,13,0,1.4,0
KE-FARM-0256,Laikipia,Sorghum,8.0,558.6,7,1,10,0,7.6,0
KE-FARM-0257,Meru,Maize,0.7,610.9,6,1,5,2,11.4,1
KE-FARM-0258,Trans Nzoia,Sunflower,2.1,783.4,2,1,14,1,1.0,0
KE-FARM-0259,Trans Nzoia,Wheat,0.5,559.7,1,1,15,0,1.0,1
KE-FARM-0260,Meru,Wheat,2.6,825.1,5,0,1,0,20.4,0
KE-FARM-0261,Uasin Gishu,Wheat,0.5,686.0,4,1,11,0,6.1,0
KE-FARM-0262,Uasin Gishu,Sorghum,6.9,668.3,3,1,5,0,6.2,1
KE-FARM-0263,Meru,Sunflower,7.0,502.8,2,0,9,1,28.9,0
KE-FARM-0264,Laikipia,Maize,6.2,676.4,10,1,5,2,3.9,0
KE-FARM-0265,Nyandarua,Beans,1.3,535.6,2,0,2,1,22.7,0
KE-FARM-0266,Uasin Gishu,Maize,7.3,670.4,4,0,13,0,36.6,0
KE-FARM-0267,Nakuru,Beans,3.1,584.7,2,0,15,0,2.8,0
KE-FARM-0268,Trans Nzoia,Maize,1.9,745.0,4,1,2,0,7.2,0
KE-FARM-0269,Meru,Sunflower,3.9,595.2,3,1,10,2,7.6,0
KE-FARM-0270,Nakuru,Beans,0.5,905.7,9,1,9,0,20.1,0
KE-FARM-0271,Meru,Sorghum,0.6,558.7,7,0,12,0,3.6,0
KE-FARM-0272,Kitui,Maize,5.4,519.8,3,1,14,1,16.0,0
KE-FARM-0273,Trans Nzoia,Maize,1.1,651.9,8,1,5,1,35.4,0
KE-FARM-0274,Trans Nzoia,Beans,3.6,761.7,9,1,11,0,18.3,0
KE-FARM-0275,Uasin Gishu,Sorghum,1.9,760.5,7,1,8,1,24.0,0
KE-FARM-0276,Uasin Gishu,Sorghum,7.7,625.0,6,1,10,1,12.3,0
KE-FARM-0277,Nakuru,Sunflower,12.2,650.9,4,0,4,0,23.4,0
KE-FARM-0278,Kitui,Sorghum,8.6,651.1,5,1,2,2,1.8,0
KE-FARM-0279,Meru,Sorghum,1.3,438.3,8,1,4,0,12.5,0
KE-FARM-0280,Kitui,Sorghum,0.9,753.6,3,1,12,1,13.2,0
KE-FARM-0281,Trans Nzoia,Wheat,2.6,411.3,2,0,11,0,5.8,1
KE-FARM-0282,Nakuru,Sunflower,0.5,438.6,3,0,4,0,1.0,0
KE-FARM-0283,Nyandarua,Maize,0.5,608.3,7,1,11,2,9.7,0
KE-FARM-0284,Nakuru,Beans,3.2,552.0,8,0,9,0,1.0,0
KE-FARM-0285,Laikipia,Maize,2.9,719.4,1,0,10,0,4.8,0
KE-FARM-0286,Nakuru,Sunflower,20.9,667.1,7,1,11,0,5.0,0
KE-FARM-0287,Kitui,Beans,0.9,620.7,9,1,6,1,68.3,0
KE-FARM-0288,Laikipia,Sunflower,1.2,431.2,3,1,15,2,3.6,1
KE-FARM-0289,Laikipia,Sorghum,0.5,604.0,3,1,10,0,17.2,0
KE-FARM-0290,Laikipia,Beans,10.0,592.1,8,0,15,1,1.0,0
KE-FARM-0291,Nyandarua,Sorghum,6.0,633.3,4,1,6,2,7.5,0
KE-FARM-0292,Nakuru,Maize,6.9,535.5,8,0,5,0,7.7,0
KE-FARM-0293,Kitui,Maize,9.3,678.4,5,1,6,0,9.9,0
KE-FARM-0294,Nakuru,Beans,3.0,548.0,3,1,1,2,16.6,1
KE-FARM-0295,Nyandarua,Beans,2.4,664.4,4,1,13,0,14.4,0
KE-FARM-0296,Trans Nzoia,Sunflower,1.6,719.4,4,0,5,1,14.3,1
KE-FARM-0297,Uasin Gishu,Sunflower,3.6,519.8,8,1,12,0,5.7,0
KE-FARM-0298,Kitui,Sorghum,2.4,484.2,6,0,6,1,13.0,0
KE-FARM-0299,Kitui,Beans,2.4,671.5,7,1,8,1,6.8,0
KE-FARM-0300,Nakuru,Maize,11.1,401.8,9,1,4,1,1.0,0
KE-FARM-0301,Uasin Gishu,Sunflower,16.5,766.7,6,1,14,0,22.1,0
KE-FARM-0302,Meru,Sunflower,6.4,601.6,3,0,5,1,22.1,0
KE-FARM-0303,Meru,Maize,5.7,582.8,3,1,4,1,3.9,0
KE-FARM-0304,Nyandarua,Sunflower,4.6,681.9,3,1,7,0,24.5,1
KE-FARM-0305,Meru,Sorghum,0.7,672.6,10,0,10,0,14.2,0
KE-FARM-0306,Kitui,Beans,0.5,601.0,2,1,6,1,5.1,0
KE-FARM-0307,Meru,Maize,4.7,731.8,1,0,14,1,4.0,1
KE-FARM-0308,Trans Nzoia,Beans,5.2,499.1,10,1,4,2,36.9,0
KE-FARM-0309,Trans Nzoia,Sunflower,0.5,706.9,1,1,6,0,12.5,0
KE-FARM-0310,Trans Nzoia,Sunflower,10.5,438.2,4,1,13,0,4.8,0
KE-FARM-0311,Meru,Maize,0.5,676.6,3,1,4,0,10.3,0
KE-FARM-0312,Nyandarua,Sorghum,1.3,550.8,5,0,12,0,8.5,0
KE-FARM-0313,Laikipia,Wheat,4.5,403.3,9,0,8,1,7.4,0
KE-FARM-0314,Laikipia,Maize,0.7,638.5,8,1,11,0,10.3,0
KE-FARM-0315,Uasin Gishu,Wheat,0.5,594.8,9,1,15,1,7.7,0
KE-FARM-0316,Laikipia,Wheat,1.6,368.6,5,0,15,0,10.6,0
KE-FARM-0317,Laikipia,Sorghum,5.8,283.0,8,1,3,2,23.8,0
