borrower_id,business_type,loan_purpose,loan_amount_ksh,loan_term_months,mpesa_transactions_monthly,mpesa_avg_balance_ksh,prev_loans_repaid,prev_loans_defaulted,group_lending_member,dependants,business_age_months,has_mobile_money_savings,loan_defaulted
MFI-00115,Food Vendor,Stock Purchase,38835.0,12,15,1560.0,2,0,1,3,9,0,0
MFI-00116,Boda Boda Operator,Stock Purchase,45474.0,3,22,10781.0,1,0,0,4,17,1,0
MFI-00117,Kiosk Owner,Equipment,31095.0,12,30,,2,0,1,1,21,0,0
MFI-00118,Boda Boda Operator,School Fees,12797.0,6,12,,1,0,0,7,21,1,0
MFI-00119,Market Trader,Business Expansion,18083.0,6,20,1161.0,3,0,1,6,6,1,0
MFI-00120,Boda Boda Operator,Stock Purchase,32712.0,6,17,3727.0,4,1,1,2,1,0,0
MFI-00121,Boda Boda Operator,Equipment,7980.0,6,18,,0,1,0,3,62,0,0
MFI-00122,Jua Kali Artisan,Medical Emergency,38885.0,9,17,13942.0,2,0,0,4,33,0,0
MFI-00123,Boda Boda Operator,Stock Purchase,29418.0,9,16,3323.0,2,0,1,2,3,1,0
MFI-00124,Jua Kali Artisan,Stock Purchase,57400.0,12,25,2858.0,1,1,1,3,23,0,1
MFI-00125,Kiosk Owner,Business Expansion,61062.0,3,25,3159.0,1,0,1,2,5,0,0
MFI-00126,Market Trader,School Fees,14795.0,3,20,3885.0,3,1,1,2,1,1,0
MFI-00127,Jua Kali Artisan,Business Expansion,23969.0,12,16,6498.0,0,0,0,4,5,1,0
MFI-00128,Boda Boda Operator,Medical Emergency,17288.0,12,11,14268.0,2,2,1,2,31,0,0
MFI-00129,Kiosk Owner,School Fees,23834.0,18,19,,1,0,0,3,16,1,0
MFI-00130,Jua Kali Artisan,Business Expansion,29686.0,6,25,7306.0,4,0,0,2,8,0,0
MFI-00131,Jua Kali Artisan,Stock Purchase,88945.0,6,17,1289.0,2,1,1,4,33,1,0
MFI-00132,Kiosk Owner,Business Expansion,22545.0,9,10,13985.0,2,1,1,4,16,0,0
MFI-00133,Market Trader,School Fees,73812.0,3,21,1038.0,1,0,0,7,11,1,0
MFI-00134,Kiosk Owner,Equipment,44722.0,12,20,16715.0,0,0,0,1,2,0,1
MFI-00135,Market Trader,Equipment,110053.0,9,19,12626.0,2,0,1,4,3,1,0
MFI-00136,Market Trader,Medical Emergency,27372.0,12,11,2243.0,1,0,0,2,8,1,1
MFI-00137,Boda Boda Operator,Business Expansion,18944.0,6,23,2881.0,2,0,1,2,8,1,0
MFI-00138,Jua Kali Artisan,Stock Purchase,40750.0,9,20,738.0,0,1,0,8,6,1,1
MFI-00139,Kiosk Owner,Medical Emergency,10039.0,6,20,845.0,1,1,0,2,3,1,0
MFI-00140,Market Trader,Medical Emergency,41197.0,9,18,3643.0,3,0,1,3,23,1,0
MFI-00141,Kiosk Owner,Medical Emergency,57102.0,9,20,5952.0,4,0,1,2,16,0,0
MFI-00142,Jua Kali Artisan,School Fees,87444.0,9,18,,0,1,0,1,24,0,1
MFI-00143,Kiosk Owner,Equipment,50255.0,12,22,3707.0,4,0,0,0,15,0,1
MFI-00144,Food Vendor,School Fees,32393.0,6,18,4294.0,1,1,0,3,22,0,1
MFI-00145,Kiosk Owner,Equipment,150000.0,6,17,1398.0,2,0,1,4,47,0,0
MFI-00146,Market Trader,Business Expansion,36045.0,3,10,4243.0,5,0,1,4,1,1,0
MFI-00147,Boda Boda Operator,School Fees,15570.0,6,17,5415.0,1,1,1,1,20,1,0
MFI-00148,Food Vendor,Stock Purchase,35329.0,6,26,8843.0,3,1,1,2,8,0,0
MFI-00149,Boda Boda Operator,Business Expansion,12389.0,6,25,4689.0,3,0,1,7,5,0,0
MFI-00150,Boda Boda Operator,School Fees,13534.0,18,11,12571.0,1,0,0,1,8,1,0
MFI-00151,Jua Kali Artisan,Stock Purchase,44060.0,18,25,5021.0,1,0,1,3,49,1,0
MFI-00152,Boda Boda Operator,Business Expansion,12573.0,3,21,4293.0,3,1,0,6,47,0,1
MFI-00153,Boda Boda Operator,Business Expansion,22174.0,6,13,10934.0,4,1,1,7,3,0,1
MFI-00154,Kiosk Owner,Stock Purchase,14259.0,6,17,11012.0,2,1,1,5,54,1,0
MFI-00155,Food Vendor,Stock Purchase,40629.0,6,18,3561.0,2,0,1,1,33,1,0
MFI-00156,Food Vendor,Medical Emergency,20548.0,12,13,,4,1,1,2,1,1,0
MFI-00157,Kiosk Owner,School Fees,55586.0,6,27,6387.0,2,1,1,5,34,1,0
MFI-00158,Market Trader,Equipment,52108.0,12,16,5505.0,2,0,1,0,1,0,0
MFI-00159,Food Vendor,Stock Purchase,12791.0,18,17,3591.0,2,0,1,3,15,1,0
MFI-00160,Food Vendor,Equipment,75863.0,9,18,7690.0,1,0,1,2,7,0,0
MFI-00161,Food Vendor,Medical Emergency,31658.0,6,18,11748.0,2,0,0,3,19,1,0
MFI-00162,Jua Kali Artisan,Equipment,13635.0,3,21,5396.0,1,0,0,4,41,1,0
MFI-00163,Food Vendor,Stock Purchase,48939.0,3,14,6110.0,1,0,0,3,1,0,1
MFI-00164,Market Trader,School Fees,148531.0,12,19,1607.0,3,0,1,1,9,1,0
MFI-00165,Food Vendor,Equipment,31035.0,3,16,2127.0,2,1,1,5,15,1,1
MFI-00166,Market Trader,Business Expansion,9715.0,6,18,2272.0,2,2,1,1,37,0,0
MFI-00167,Food Vendor,Equipment,75983.0,12,19,6293.0,0,0,0,3,12,0,0
MFI-00168,Market Trader,Medical Emergency,128070.0,9,14,1585.0,3,0,1,3,3,1,0
MFI-00169,Kiosk Owner,Medical Emergency,15303.0,6,11,658.0,3,0,1,1,1,1,1
MFI-00170,Food Vendor,Stock Purchase,19215.0,6,19,1215.0,2,0,0,1,23,0,0
MFI-00171,Market Trader,School Fees,37360.0,9,13,8373.0,3,0,0,5,1,1,0
MFI-00172,Jua Kali Artisan,Equipment,7730.0,6,23,26265.0,3,0,0,2,41,0,0
MFI-00173,Jua Kali Artisan,Stock Purchase,150000.0,18,19,12695.0,2,1,1,1,40,1,1
MFI-00174,Kiosk Owner,School Fees,34869.0,3,19,,0,0,0,0,120,0,0
MFI-00175,Boda Boda Operator,Medical Emergency,37534.0,18,22,2086.0,1,1,0,4,16,0,1
MFI-00176,Jua Kali Artisan,Equipment,48335.0,6,14,2618.0,1,1,1,6,11,1,0
MFI-00177,Food Vendor,Stock Purchase,29536.0,9,17,1045.0,0,0,1,3,77,0,0
MFI-00178,Kiosk Owner,Equipment,24046.0,6,25,4011.0,1,1,1,3,39,1,0
MFI-00179,Market Trader,Equipment,17100.0,12,16,7750.0,1,0,1,3,6,1,0
MFI-00180,Market Trader,Business Expansion,14149.0,9,19,,0,2,1,6,42,0,1
MFI-00181,Market Trader,Medical Emergency,50272.0,6,22,1484.0,3,0,1,1,47,0,0
MFI-00182,Market Trader,School Fees,107162.0,9,19,10706.0,0,0,1,2,47,1,0
MFI-00183,Food Vendor,Medical Emergency,77650.0,18,26,1985.0,1,0,1,5,43,0,0
MFI-00184,Jua Kali Artisan,Stock Purchase,28817.0,6,18,2227.0,1,0,0,8,9,1,0
MFI-00185,Market Trader,Medical Emergency,31130.0,12,23,448.0,4,1,1,2,10,1,0
MFI-00186,Food Vendor,Stock Purchase,132538.0,12,15,,1,1,0,5,53,1,1
MFI-00187,Kiosk Owner,Medical Emergency,19169.0,6,15,18323.0,2,0,1,4,7,1,0
MFI-00188,Food Vendor,Stock Purchase,9559.0,3,21,3544.0,1,0,1,2,13,1,0
MFI-00189,Kiosk Owner,Stock Purchase,44408.0,6,13,4603.0,1,0,1,3,2,1,1
MFI-00190,Jua Kali Artisan,Equipment,71826.0,9,16,7936.0,1,1,1,5,32,0,0
MFI-00191,Market Trader,Business Expansion,4962.0,9,23,,1,1,1,7,20,0,1
MFI-00192,Boda Boda Operator,Business Expansion,49942.0,3,25,4535.0,3,0,1,1,28,1,0
MFI-00193,Kiosk Owner,Equipment,14725.0,6,17,2733.0,1,1,0,5,9,0,1
MFI-00194,Boda Boda Operator,Business Expansion,11675.0,6,12,,1,1,1,2,31,1,0
MFI-00195,Food Vendor,School Fees,28815.0,12,15,3336.0,3,0,0,3,20,0,1
MFI-00196,Food Vendor,Equipment,14417.0,12,14,6228.0,0,0,1,1,92,1,0
MFI-00197,Boda Boda Operator,Business Expansion,8813.0,9,21,1664.0,1,0,1,4,1,0,0
MFI-00198,Jua Kali Artisan,Equipment,39601.0,6,15,15787.0,3,1,0,2,26,0,1
MFI-00199,Market Trader,Equipment,35051.0,9,14,35278.0,4,1,1,6,6,1,1
MFI-00200,Food Vendor,Equipment,9188.0,18,19,2384.0,3,0,0,2,4,0,0
MFI-00201,Boda Boda Operator,Business Expansion,11783.0,3,14,2243.0,2,0,1,1,20,1,0
MFI-00202,Boda Boda Operator,Business Expansion,52680.0,6,22,2098.0,4,0,1,2,12,1,0
MFI-00203,Kiosk Owner,School Fees,55426.0,9,13,3056.0,5,1,0,2,17,0,0
MFI-00204,Boda Boda Operator,Equipment,4372.0,6,16,28090.0,2,1,1,2,7,1,1
MFI-00205,Boda Boda Operator,Business Expansion,13216.0,12,23,,2,0,0,2,35,0,0
MFI-00206,Kiosk Owner,School Fees,33992.0,6,12,5586.0,1,0,0,1,24,1,0
MFI-00207,Kiosk Owner,Medical Emergency,50945.0,12,27,3074.0,5,1,0,3,21,1,0
MFI-00208,Food Vendor,School Fees,50446.0,12,23,632.0,1,1,0,3,30,0,0
MFI-00209,Jua Kali Artisan,Business Expansion,58828.0,6,20,2819.0,3,1,1,5,34,1,0
MFI-00210,Food Vendor,Medical Emergency,20408.0,3,21,4687.0,1,0,0,1,20,1,0
MFI-00211,Jua Kali Artisan,Stock Purchase,41869.0,9,12,22498.0,0,0,0,3,4,0,0
MFI-00212,Market Trader,Business Expansion,26500.0,6,20,854.0,1,0,0,2,7,1,1
MFI-00213,Kiosk Owner,School Fees,23193.0,6,13,,3,1,1,1,3,0,0
MFI-00214,Food Vendor,Medical Emergency,10837.0,18,18,,2,0,1,3,4,0,0
MFI-00215,Kiosk Owner,Equipment,46068.0,3,18,4439.0,4,0,1,2,2,1,0
MFI-00216,Kiosk Owner,School Fees,9707.0,12,26,1727.0,1,0,0,3,18,0,0
MFI-00217,Jua Kali Artisan,Business Expansion,14237.0,9,17,16741.0,1,1,0,2,30,1,0
MFI-00218,Boda Boda Operator,School Fees,62893.0,3,21,6844.0,1,0,0,3,4,0,0
MFI-00219,Boda Boda Operator,Equipment,31801.0,6,19,4683.0,0,0,1,5,1,1,0
MFI-00220,Kiosk Owner,Stock Purchase,84223.0,9,21,4414.0,2,1,1,3,15,1,0
MFI-00221,Food Vendor,School Fees,27745.0,6,25,12401.0,1,0,1,1,84,0,0
MFI-00222,Food Vendor,Business Expansion,23286.0,3,21,2074.0,2,0,1,2,22,1,0
MFI-00223,Jua Kali Artisan,Medical Emergency,90906.0,6,23,20393.0,2,0,1,5,40,1,0
MFI-00224,Market Trader,Stock Purchase,26366.0,9,17,43900.0,1,0,0,3,5,1,0
MFI-00225,Food Vendor,Stock Purchase,45479.0,12,15,3602.0,0,0,0,3,63,1,0
MFI-00226,Market Trader,Equipment,31893.0,18,17,,1,0,0,2,14,0,1
MFI-00227,Kiosk Owner,Stock Purchase,39981.0,3,18,2722.0,1,0,0,4,9,0,0
MFI-00228,Jua Kali Artisan,Stock Purchase,30421.0,3,11,1573.0,2,0,1,2,18,0,0
MFI-00229,Jua Kali Artisan,Stock Purchase,73303.0,18,21,2728.0,1,0,1,5,38,1,0
MFI-00230,Kiosk Owner,Business Expansion,38349.0,3,19,7367.0,2,0,1,4,37,1,0
MFI-00231,Kiosk Owner,Stock Purchase,27840.0,12,13,3841.0,2,0,0,1,12,1,0
MFI-00232,Market Trader,School Fees,44499.0,12,22,,2,0,1,2,5,0,0
MFI-00233,Food Vendor,Stock Purchase,10526.0,3,18,6332.0,1,0,1,3,4,1,0
MFI-00234,Food Vendor,Equipment,81645.0,12,9,3181.0,1,2,0,0,8,1,0
MFI-00235,Boda Boda Operator,Stock Purchase,10881.0,6,22,,0,0,0,6,63,0,0
MFI-00236,Market Trader,School Fees,21354.0,12,14,4725.0,1,1,1,2,6,1,1
MFI-00237,Jua Kali Artisan,Equipment,25285.0,6,23,1232.0,2,0,1,4,24,0,0
MFI-00238,Market Trader,Business Expansion,44331.0,12,11,5230.0,1,0,0,5,7,0,1
MFI-00239,Market Trader,Equipment,132747.0,12,18,6817.0,1,0,0,4,43,1,0
MFI-00240,Kiosk Owner,School Fees,82868.0,3,15,475.0,1,0,1,2,28,1,0
MFI-00241,Kiosk Owner,Equipment,11183.0,9,13,17351.0,3,0,0,5,46,1,0
MFI-00242,Kiosk Owner,Medical Emergency,17878.0,6,19,,2,0,1,3,15,1,0
MFI-00243,Kiosk Owner,School Fees,11854.0,12,19,8129.0,1,2,1,5,21,0,0
MFI-00244,Kiosk Owner,Equipment,12837.0,9,15,2542.0,1,0,1,2,6,1,0
MFI-00245,Market Trader,Stock Purchase,22650.0,6,22,3248.0,0,0,1,2,3,1,0
MFI-00246,Kiosk Owner,Equipment,103548.0,3,15,24337.0,0,0,0,3,53,0,0
MFI-00247,Food Vendor,Stock Purchase,29836.0,6,17,1262.0,1,1,1,4,8,1,0
MFI-00248,Food Vendor,Medical Emergency,33101.0,18,20,2932.0,1,2,1,2,32,1,1
MFI-00249,Boda Boda Operator,Business Expansion,43613.0,12,14,,2,0,0,6,6,0,0
MFI-00250,Food Vendor,School Fees,17126.0,6,22,414.0,2,0,0,4,13,1,1
MFI-00251,Boda Boda Operator,Business Expansion,34316.0,9,21,1932.0,2,0,1,2,107,1,0
MFI-00252,Food Vendor,Equipment,44242.0,18,17,11027.0,0,0,1,2,3,1,0
MFI-00253,Jua Kali Artisan,Medical Emergency,150000.0,9,24,1356.0,4,0,1,3,6,1,0
MFI-00254,Boda Boda Operator,Equipment,76050.0,6,23,5726.0,0,0,0,2,32,1,0
MFI-00255,Market Trader,Medical Emergency,135508.0,3,18,6870.0,6,0,1,5,3,1,0
MFI-00256,Kiosk Owner,Business Expansion,37167.0,12,23,8119.0,0,0,1,1,45,1,0
MFI-00257,Boda Boda Operator,Medical Emergency,55424.0,6,14,1701.0,2,1,0,1,1,1,0
MFI-00258,Food Vendor,Equipment,44768.0,3,18,5750.0,1,0,0,4,17,1,0
MFI-00259,Market Trader,Medical Emergency,8683.0,3,17,1517.0,3,0,1,3,11,1,0
MFI-00260,Food Vendor,Stock Purchase,5065.0,3,18,,3,0,1,2,3,1,0
MFI-00261,Market Trader,Stock Purchase,14767.0,3,22,11672.0,4,0,0,2,25,1,0
MFI-00262,Food Vendor,Medical Emergency,98202.0,9,21,2095.0,2,0,1,2,80,0,0
MFI-00263,Kiosk Owner,Medical Emergency,26474.0,12,25,8345.0,3,2,0,5,21,0,1
MFI-00264,Jua Kali Artisan,Medical Emergency,67696.0,12,28,4542.0,3,0,0,0,5,1,0
MFI-00265,Food Vendor,Medical Emergency,103127.0,9,24,,1,2,0,3,2,0,0
MFI-00266,Food Vendor,Medical Emergency,13010.0,3,19,685.0,2,0,1,0,39,1,1
MFI-00267,Boda Boda Operator,Stock Purchase,118269.0,18,26,15931.0,3,0,1,1,45,0,0
MFI-00268,Kiosk Owner,School Fees,14329.0,3,17,808.0,0,0,0,1,23,1,0
MFI-00269,Market Trader,Business Expansion,30789.0,12,18,,0,3,1,3,1,0,1
MFI-00270,Boda Boda Operator,Stock Purchase,15309.0,18,17,,1,0,1,6,2,0,0
MFI-00271,Kiosk Owner,Medical Emergency,43899.0,12,23,,3,0,1,1,28,1,0
MFI-00272,Kiosk Owner,School Fees,31905.0,12,20,3153.0,2,0,1,2,8,1,0
MFI-00273,Boda Boda Operator,School Fees,68708.0,9,20,12596.0,0,0,0,4,8,0,0
MFI-00274,Market Trader,Business Expansion,80801.0,18,12,4318.0,3,0,1,8,11,0,0
MFI-00275,Jua Kali Artisan,Equipment,128560.0,9,19,1822.0,2,1,1,3,39,0,0
MFI-00276,Boda Boda Operator,Equipment,66265.0,12,17,17100.0,1,0,1,3,37,0,0
MFI-00277,Food Vendor,Equipment,69693.0,6,17,6390.0,1,1,0,2,7,1,0
