market_id,county,season,primary_animal_type,weekly_animal_throughput,vaccination_coverage_pct,distance_to_water_source_km,vet_inspections_per_month,prev_outbreaks_2yr,market_density_score,outbreak_risk_flag
MKT-0050,Marsabit,Long Rains,Mixed,19,37.7,0.5,2,1,6,0
MKT-0051,Laikipia,Dry Season,Cattle,10,23.0,8.0,1,0,7,0
MKT-0052,Kajiado,Short Rains,Camels,10,48.9,22.9,2,0,5,0
MKT-0053,Baringo,Short Rains,Cattle,12,30.6,3.9,4,1,5,0
MKT-0054,Turkana,Long Rains,Mixed,21,21.5,6.9,0,0,8,1
MKT-0055,West Pokot,Short Rains,Mixed,21,40.4,4.8,3,1,2,0
MKT-0056,Marsabit,Dry Season,Goats,10,22.6,29.0,3,0,4,0
MKT-0057,Samburu,Long Rains,Goats,10,50.2,10.7,0,1,7,0
MKT-0058,Mandera,Long Rains,Goats,30,33.8,0.5,4,0,8,1
MKT-0059,Marsabit,Long Rains,Goats,13,47.1,0.9,0,1,4,1
MKT-0060,West Pokot,Long Rains,Sheep,18,52.3,5.1,3,1,10,1
MKT-0061,Marsabit,Long Rains,Goats,10,52.6,8.0,0,1,6,0
MKT-0062,Wajir,Short Rains,Mixed,10,22.7,2.7,2,1,10,0
MKT-0063,Kajiado,Short Rains,Mixed,14,52.1,9.0,2,0,3,1
MKT-0064,Garissa,Long Rains,Camels,10,37.7,6.9,0,0,7,1
MKT-0065,Mandera,Short Rains,Cattle,12,55.1,4.6,2,2,2,0
MKT-0066,West Pokot,Dry Season,Sheep,12,66.4,7.0,0,1,1,0
MKT-0067,Isiolo,Short Rains,Sheep,19,79.0,19.9,3,0,10,0
MKT-0068,Garissa,Short Rains,Camels,10,25.0,2.2,2,0,5,1
MKT-0069,Garissa,Short Rains,Camels,14,34.2,12.5,0,0,10,0
MKT-0070,Garissa,Long Rains,Goats,10,25.9,0.5,0,1,4,1
MKT-0071,West Pokot,Short Rains,Camels,10,33.4,0.7,2,0,5,1
MKT-0072,Turkana,Short Rains,Sheep,10,28.3,23.9,0,0,9,0
MKT-0073,Garissa,Long Rains,Cattle,10,51.0,9.6,1,0,1,0
MKT-0074,Garissa,Long Rains,Cattle,10,53.2,8.0,3,0,8,1
MKT-0075,Mandera,Dry Season,Sheep,11,64.0,3.3,1,0,3,0
MKT-0076,Baringo,Dry Season,Goats,10,26.1,1.6,0,0,7,0
MKT-0077,Laikipia,Short Rains,Cattle,10,26.0,3.8,0,0,3,0
MKT-0078,Mandera,Short Rains,Cattle,17,54.7,7.3,2,0,5,0
MKT-0079,Mandera,Long Rains,Goats,10,34.5,8.0,4,0,7,0
MKT-0080,Kajiado,Dry Season,Cattle,13,36.8,1.5,1,0,6,1
MKT-0081,Kajiado,Dry Season,Mixed,10,53.6,4.7,2,0,2,0
MKT-0082,Turkana,Short Rains,Sheep,11,21.7,6.7,1,0,3,1
MKT-0083,Narok,Long Rains,Cattle,10,21.7,25.7,4,1,9,1
MKT-0084,Turkana,Dry Season,Cattle,10,32.8,6.4,2,0,6,1
MKT-0085,Baringo,Dry Season,Goats,10,60.2,7.0,2,2,2,0
MKT-0086,Garissa,Short Rains,Cattle,17,33.7,11.6,1,0,5,0
MKT-0087,Baringo,Dry Season,Goats,16,61.8,4.3,3,0,10,0
MKT-0088,Narok,Short Rains,Sheep,10,28.8,3.9,1,1,9,0
MKT-0089,Baringo,Short Rains,Mixed,19,24.1,7.2,0,1,4,1
MKT-0090,Mandera,Long Rains,Camels,15,76.1,12.2,1,2,2,1
MKT-0091,Baringo,Short Rains,Sheep,10,5.8,8.1,0,0,2,0
MKT-0092,Garissa,Dry Season,Cattle,10,59.6,1.6,2,0,10,0
MKT-0093,Isiolo,Dry Season,Mixed,10,42.0,4.1,0,0,4,0
MKT-0094,Isiolo,Dry Season,Camels,10,27.6,5.7,0,1,7,1
MKT-0095,Narok,Long Rains,Camels,11,19.1,5.9,6,1,5,1
MKT-0096,Marsabit,Short Rains,Cattle,10,48.9,3.3,2,0,7,0
MKT-0097,West Pokot,Short Rains,Camels,15,95.1,5.9,2,2,4,1
MKT-0098,Mandera,Long Rains,Camels,10,43.9,8.9,2,0,1,0
MKT-0099,Baringo,Dry Season,Sheep,10,29.9,5.0,0,0,4,0
MKT-0100,Baringo,Long Rains,Sheep,12,18.4,4.8,3,0,5,0
MKT-0101,Narok,Long Rains,Camels,10,26.4,12.9,0,2,6,1
MKT-0102,Narok,Long Rains,Goats,10,31.4,11.3,1,0,4,1
MKT-0103,Turkana,Short Rains,Cattle,10,30.4,4.4,0,0,7,0
MKT-0104,Samburu,Long Rains,Goats,14,69.4,44.2,2,1,4,1
MKT-0105,Kajiado,Long Rains,Goats,10,38.1,0.6,2,0,4,0
MKT-0106,Turkana,Dry Season,Camels,13,37.3,3.2,2,2,6,0
MKT-0107,Baringo,Dry Season,Cattle,29,54.3,0.5,1,0,1,0
MKT-0108,Isiolo,Short Rains,Goats,10,6.1,14.6,1,0,9,0
MKT-0109,Turkana,Long Rains,Sheep,10,80.4,11.3,2,0,6,0
MKT-0110,Narok,Dry Season,Sheep,12,72.0,9.2,0,0,4,0
MKT-0111,Kajiado,Short Rains,Cattle,10,6.0,1.9,4,0,4,0
MKT-0112,Marsabit,Dry Season,Goats,10,46.7,9.8,2,1,9,0
MKT-0113,Kajiado,Short Rains,Mixed,20,56.4,3.5,0,0,9,0
MKT-0114,Wajir,Long Rains,Mixed,15,44.5,16.2,1,0,6,0
MKT-0115,Kajiado,Dry Season,Cattle,10,34.2,1.8,1,0,5,0
MKT-0116,Laikipia,Long Rains,Cattle,10,7.7,2.0,1,1,1,1
MKT-0117,West Pokot,Long Rains,Mixed,10,30.3,25.9,1,1,9,1
MKT-0118,Kajiado,Short Rains,Goats,11,43.4,5.8,1,0,6,0
MKT-0119,Marsabit,Short Rains,Goats,10,26.2,4.7,3,3,9,0
MKT-0120,Marsabit,Long Rains,Camels,10,33.7,3.5,0,2,2,1
MKT-0121,Kajiado,Long Rains,Cattle,10,29.8,14.2,2,1,8,1
MKT-0122,Isiolo,Long Rains,Goats,10,71.4,3.5,2,0,7,1
MKT-0123,Garissa,Dry Season,Mixed,20,29.3,3.5,4,0,1,0
MKT-0124,Kajiado,Long Rains,Mixed,26,13.4,1.1,3,1,6,1
MKT-0125,Marsabit,Long Rains,Sheep,19,64.3,5.9,1,1,8,0
MKT-0126,Marsabit,Long Rains,Goats,10,24.9,20.6,1,0,10,1
MKT-0127,Baringo,Long Rains,Camels,19,89.4,25.3,4,0,10,0
MKT-0128,Samburu,Long Rains,Camels,15,73.8,43.3,1,0,1,0
MKT-0129,Turkana,Long Rains,Cattle,17,58.3,5.1,1,1,10,0
MKT-0130,West Pokot,Dry Season,Sheep,16,35.4,11.9,2,0,3,0
MKT-0131,West Pokot,Long Rains,Mixed,15,52.6,6.4,3,0,1,0
MKT-0132,Isiolo,Long Rains,Mixed,14,35.7,6.4,3,1,4,1
MKT-0133,Laikipia,Dry Season,Cattle,10,64.8,13.1,1,0,4,0
MKT-0134,Garissa,Short Rains,Camels,13,26.0,14.4,1,0,6,0
MKT-0135,Wajir,Dry Season,Camels,10,48.5,0.5,0,3,6,0
MKT-0136,Isiolo,Long Rains,Mixed,10,77.3,22.9,3,0,2,0
MKT-0137,Baringo,Dry Season,Cattle,10,57.9,13.9,2,0,7,0
MKT-0138,Wajir,Dry Season,Goats,16,54.0,10.2,1,0,7,0
MKT-0139,Kajiado,Dry Season,Sheep,22,45.6,15.3,1,1,6,0
MKT-0140,Samburu,Long Rains,Camels,18,28.3,6.2,1,0,9,1
MKT-0141,Kajiado,Dry Season,Camels,10,47.0,11.9,4,0,4,0
MKT-0142,Samburu,Short Rains,Camels,14,34.1,7.3,3,1,8,0
MKT-0143,Baringo,Dry Season,Goats,10,13.1,6.3,1,2,2,0
MKT-0144,Marsabit,Short Rains,Goats,10,59.8,1.9,1,1,10,0
MKT-0145,Isiolo,Short Rains,Sheep,13,81.5,15.0,1,1,4,1
MKT-0146,Garissa,Short Rains,Camels,10,57.2,17.2,1,0,7,0
MKT-0147,Narok,Long Rains,Mixed,15,22.5,28.4,3,0,7,0
MKT-0148,Turkana,Short Rains,Camels,10,17.9,1.0,1,0,4,0
MKT-0149,Baringo,Long Rains,Sheep,14,77.6,2.8,1,1,9,1
MKT-0150,Wajir,Long Rains,Sheep,10,83.4,9.3,1,0,2,0
MKT-0151,Garissa,Dry Season,Mixed,10,52.2,15.5,1,0,6,0
MKT-0152,Narok,Short Rains,Goats,10,34.1,11.1,1,1,3,1
MKT-0153,Baringo,Short Rains,Mixed,10,6.2,4.9,3,0,2,0
MKT-0154,Isiolo,Long Rains,Sheep,17,24.2,10.4,4,0,1,1
MKT-0155,Garissa,Long Rains,Mixed,21,51.0,0.6,2,0,10,0
MKT-0156,Turkana,Short Rains,Camels,10,14.2,8.7,0,0,8,0
MKT-0157,West Pokot,Dry Season,Sheep,10,29.4,0.5,1,0,2,0
MKT-0158,Isiolo,Short Rains,Goats,22,25.3,0.5,1,0,4,0
MKT-0159,Laikipia,Dry Season,Goats,24,41.8,11.3,0,0,3,0
MKT-0160,Wajir,Short Rains,Mixed,10,52.0,5.2,1,0,8,0
MKT-0161,Narok,Dry Season,Mixed,23,24.0,0.5,1,0,7,1
MKT-0162,Turkana,Long Rains,Mixed,10,41.0,5.3,0,0,4,1
MKT-0163,Turkana,Dry Season,Camels,14,12.0,0.5,5,2,6,0
MKT-0164,Isiolo,Long Rains,Goats,10,45.4,3.4,0,0,5,0
MKT-0165,Baringo,Short Rains,Sheep,25,47.7,1.4,0,1,2,0
MKT-0166,Baringo,Long Rains,Sheep,12,61.4,2.0,1,2,7,0
MKT-0167,Turkana,Long Rains,Goats,10,16.1,1.7,0,1,9,1
MKT-0168,Garissa,Short Rains,Mixed,10,24.0,3.7,1,1,8,0
MKT-0169,West Pokot,Short Rains,Cattle,10,66.2,0.9,2,0,7,0
MKT-0170,Narok,Dry Season,Mixed,13,16.3,6.0,1,0,6,1
MKT-0171,Marsabit,Short Rains,Goats,11,63.7,4.2,0,0,2,0
MKT-0172,Garissa,Long Rains,Camels,10,28.3,14.7,2,0,6,1
MKT-0173,Kajiado,Long Rains,Mixed,12,30.4,14.0,1,0,1,0
MKT-0174,Kajiado,Dry Season,Sheep,10,35.4,13.9,1,1,6,0
MKT-0175,Wajir,Short Rains,Camels,10,59.6,5.1,1,2,7,0
MKT-0176,Kajiado,Long Rains,Goats,18,38.5,2.7,1,0,4,1
MKT-0177,Mandera,Short Rains,Cattle,10,63.3,4.3,0,1,10,0
MKT-0178,Marsabit,Short Rains,Mixed,31,50.6,9.3,0,0,7,0
MKT-0179,Baringo,Long Rains,Camels,10,15.9,6.0,1,0,9,1
MKT-0180,Wajir,Dry Season,Camels,10,24.8,7.8,1,0,1,0
MKT-0181,Marsabit,Short Rains,Sheep,15,40.2,9.5,2,0,4,0
MKT-0182,Mandera,Short Rains,Mixed,12,21.5,20.0,2,0,10,1
MKT-0183,Laikipia,Dry Season,Cattle,14,53.8,23.1,3,0,4,0
MKT-0184,Wajir,Long Rains,Camels,10,38.3,14.7,2,0,4,0
MKT-0185,Marsabit,Long Rains,Sheep,16,26.0,0.5,2,1,1,1
MKT-0186,Laikipia,Dry Season,Mixed,10,32.0,31.0,2,1,7,0
MKT-0187,Laikipia,Dry Season,Mixed,12,55.9,9.7,3,1,8,0
MKT-0188,Kajiado,Long Rains,Cattle,13,66.0,9.5,1,1,7,1
MKT-0189,Laikipia,Long Rains,Sheep,15,41.0,0.5,3,0,2,0
MKT-0190,Marsabit,Dry Season,Cattle,17,77.1,5.2,1,1,4,0
MKT-0191,Kajiado,Short Rains,Camels,10,25.9,7.9,1,0,2,1
MKT-0192,Mandera,Long Rains,Goats,10,77.0,2.6,2,0,7,0
MKT-0193,West Pokot,Long Rains,Goats,10,35.7,0.7,0,3,4,0
MKT-0194,West Pokot,Short Rains,Cattle,10,38.5,6.1,1,1,7,1
MKT-0195,Garissa,Dry Season,Cattle,16,65.9,4.7,1,0,6,0
MKT-0196,Garissa,Dry Season,Goats,10,9.2,0.5,1,1,10,0
MKT-0197,West Pokot,Long Rains,Camels,10,52.5,5.9,2,0,10,0
MKT-0198,Mandera,Dry Season,Cattle,10,51.8,0.9,1,1,3,0
MKT-0199,Baringo,Long Rains,Camels,10,44.0,4.4,2,0,9,0
MKT-0200,Laikipia,Dry Season,Camels,18,9.9,2.5,2,1,8,0
MKT-0201,Mandera,Short Rains,Sheep,10,59.8,28.2,1,0,7,0
MKT-0202,Mandera,Short Rains,Camels,10,20.4,0.5,2,0,3,0
MKT-0203,Samburu,Short Rains,Mixed,10,42.8,6.6,1,1,5,0
MKT-0204,Turkana,Long Rains,Goats,10,16.4,1.3,0,2,8,1
MKT-0205,Wajir,Short Rains,Goats,10,74.9,3.1,1,2,2,0
MKT-0206,Turkana,Short Rains,Cattle,10,36.9,1.6,1,1,4,0
MKT-0207,Samburu,Dry Season,Cattle,10,75.9,42.6,3,0,5,0
MKT-0208,Baringo,Dry Season,Sheep,10,67.5,0.5,2,1,2,0
MKT-0209,Laikipia,Long Rains,Sheep,13,27.2,6.2,4,0,6,1
MKT-0210,Garissa,Dry Season,Mixed,12,69.7,7.5,0,1,7,1
MKT-0211,Marsabit,Dry Season,Cattle,13,32.3,11.8,2,0,8,1
MKT-0212,Baringo,Dry Season,Goats,10,21.8,7.9,2,1,4,1
MKT-0213,Mandera,Long Rains,Mixed,10,3.5,2.1,0,1,5,0
MKT-0214,Samburu,Dry Season,Cattle,10,69.0,7.3,0,1,3,0
MKT-0215,Laikipia,Long Rains,Mixed,11,3.7,29.5,2,0,5,0
MKT-0216,Isiolo,Short Rains,Camels,10,38.3,15.1,1,0,6,0
MKT-0217,West Pokot,Long Rains,Camels,10,67.0,4.8,2,1,4,0
MKT-0218,Marsabit,Long Rains,Mixed,10,38.9,5.2,3,1,6,1
MKT-0219,Mandera,Dry Season,Cattle,10,32.3,1.1,4,1,9,1
MKT-0220,Laikipia,Dry Season,Camels,10,19.6,6.8,3,0,4,0
MKT-0221,Mandera,Dry Season,Camels,11,26.3,2.6,0,1,7,1
MKT-0222,West Pokot,Dry Season,Mixed,11,44.6,0.9,1,1,8,1
MKT-0223,West Pokot,Long Rains,Camels,16,14.5,5.1,1,1,10,0
MKT-0224,Baringo,Dry Season,Goats,19,45.8,0.5,0,1,3,0
MKT-0225,Wajir,Short Rains,Camels,10,28.4,1.0,1,0,7,1
MKT-0226,Samburu,Long Rains,Mixed,11,48.7,2.0,1,1,9,1
MKT-0227,West Pokot,Dry Season,Camels,10,70.1,37.4,4,2,10,0
MKT-0228,Baringo,Long Rains,Camels,15,49.1,13.2,3,0,1,1
MKT-0229,Wajir,Dry Season,Sheep,10,58.0,6.2,0,1,1,0
MKT-0230,Marsabit,Short Rains,Mixed,19,41.6,2.1,2,1,7,0
MKT-0231,Turkana,Dry Season,Mixed,13,57.6,5.9,1,0,2,0
MKT-0232,Baringo,Short Rains,Sheep,12,13.4,8.4,0,0,8,1
MKT-0233,Laikipia,Long Rains,Sheep,11,37.3,0.5,2,1,6,1
MKT-0234,Kajiado,Long Rains,Goats,10,23.5,35.3,3,1,2,1
MKT-0235,Isiolo,Long Rains,Camels,13,41.2,7.9,4,0,4,0
MKT-0236,West Pokot,Short Rains,Cattle,10,26.3,35.5,2,0,7,1
MKT-0237,Mandera,Long Rains,Cattle,21,47.2,5.1,2,0,8,0
MKT-0238,Laikipia,Dry Season,Sheep,21,60.5,7.8,0,1,5,0
MKT-0239,Garissa,Long Rains,Mixed,13,28.5,5.0,1,0,2,0
MKT-0240,Baringo,Long Rains,Mixed,22,26.7,0.5,0,2,2,0
MKT-0241,Marsabit,Long Rains,Goats,13,36.9,15.2,2,0,4,0
MKT-0242,Samburu,Dry Season,Cattle,19,11.6,4.8,1,0,3,0
MKT-0243,West Pokot,Dry Season,Mixed,10,59.7,5.1,1,0,7,0
MKT-0244,West Pokot,Long Rains,Goats,10,25.7,3.6,1,1,5,0
MKT-0245,Garissa,Long Rains,Goats,22,56.7,4.5,4,0,5,0
MKT-0246,Turkana,Long Rains,Sheep,10,63.7,10.3,0,0,10,0
MKT-0247,Kajiado,Short Rains,Cattle,10,17.3,9.6,2,1,8,0
MKT-0248,Garissa,Long Rains,Goats,10,28.5,13.2,1,0,1,1
MKT-0249,Wajir,Short Rains,Goats,15,31.3,29.4,2,0,6,0
MKT-0250,West Pokot,Short Rains,Goats,12,47.4,4.0,2,0,6,0
MKT-0251,Turkana,Long Rains,Cattle,14,36.4,3.3,2,0,4,0
MKT-0252,Marsabit,Long Rains,Sheep,10,62.2,5.4,0,0,7,0
MKT-0253,West Pokot,Short Rains,Camels,10,16.2,1.3,2,2,9,0
MKT-0254,Garissa,Dry Season,Mixed,13,49.5,11.4,1,0,9,0
MKT-0255,Marsabit,Dry Season,Cattle,15,10.2,7.0,1,1,8,0
MKT-0256,Turkana,Dry Season,Cattle,10,67.1,1.9,1,1,1,0
MKT-0257,Laikipia,Long Rains,Cattle,10,37.0,16.0,2,0,9,0
MKT-0258,Turkana,Short Rains,Camels,13,33.3,7.7,1,0,4,0
MKT-0259,Mandera,Short Rains,Mixed,10,43.5,0.5,0,2,3,1
MKT-0260,Marsabit,Short Rains,Mixed,13,75.0,1.8,1,0,2,0
MKT-0261,Isiolo,Short Rains,Goats,10,40.1,17.7,1,2,4,1
MKT-0262,Wajir,Dry Season,Goats,19,31.8,3.8,1,1,7,0
MKT-0263,Isiolo,Dry Season,Sheep,18,26.8,33.3,0,2,10,0
MKT-0264,Mandera,Dry Season,Cattle,19,14.4,6.0,5,1,1,0
MKT-0265,Kajiado,Dry Season,Sheep,19,27.1,1.9,0,0,2,0
MKT-0266,Laikipia,Long Rains,Cattle,10,30.1,7.2,1,0,1,1
MKT-0267,Mandera,Dry Season,Mixed,10,53.1,0.9,3,1,6,1
MKT-0268,Marsabit,Dry Season,Sheep,10,46.0,13.2,2,0,10,0
MKT-0269,Baringo,Long Rains,Mixed,17,33.7,7.9,3,1,7,0
MKT-0270,Marsabit,Short Rains,Goats,37,23.8,26.6,1,0,8,1
MKT-0271,Mandera,Short Rains,Mixed,22,55.4,9.4,1,1,2,0
MKT-0272,Baringo,Long Rains,Camels,10,33.5,0.5,2,0,1,0
MKT-0273,Baringo,Long Rains,Sheep,10,31.4,5.2,1,0,2,0
MKT-0274,Marsabit,Dry Season,Cattle,15,14.5,6.1,1,1,8,1
MKT-0275,Baringo,Long Rains,Mixed,16,50.3,19.9,1,0,5,1
MKT-0276,Narok,Dry Season,Sheep,20,34.5,4.5,1,0,6,1
MKT-0277,Kajiado,Short Rains,Cattle,10,35.9,7.2,2,0,4,0
MKT-0278,Samburu,Long Rains,Sheep,31,50.5,1.6,2,2,3,1
MKT-0279,Narok,Long Rains,Sheep,14,64.1,2.2,1,1,9,0
MKT-0280,Laikipia,Dry Season,Camels,10,54.4,6.4,0,0,5,0
MKT-0281,Narok,Long Rains,Mixed,10,85.5,9.6,1,0,7,1
MKT-0282,Turkana,Dry Season,Camels,10,37.1,4.6,1,1,7,1
MKT-0283,Baringo,Dry Season,Goats,23,32.9,4.5,2,1,7,0
MKT-0284,Mandera,Dry Season,Sheep,10,22.4,2.4,2,0,8,1
MKT-0285,Turkana,Dry Season,Mixed,14,67.2,9.6,2,1,3,0
MKT-0286,Turkana,Dry Season,Goats,10,16.4,0.5,2,1,1,1
MKT-0287,Kajiado,Short Rains,Goats,17,16.9,5.8,3,0,4,0
MKT-0288,Laikipia,Dry Season,Camels,10,46.7,0.5,3,2,1,0
MKT-0289,Marsabit,Short Rains,Goats,10,25.1,7.2,3,0,4,0
MKT-0290,Mandera,Long Rains,Cattle,11,17.2,0.5,1,1,2,0
MKT-0291,Wajir,Short Rains,Cattle,11,16.1,22.5,2,1,8,0
MKT-0292,Wajir,Long Rains,Cattle,14,28.0,5.2,1,2,6,1
MKT-0293,Laikipia,Long Rains,Goats,10,10.9,9.2,0,1,5,0
MKT-0294,West Pokot,Long Rains,Sheep,13,32.6,15.4,1,1,2,1
MKT-0295,Mandera,Dry Season,Mixed,10,40.7,2.1,2,2,10,0
MKT-0296,Samburu,Long Rains,Cattle,10,46.3,6.2,2,0,3,0
MKT-0297,Narok,Short Rains,Cattle,17,37.0,15.9,2,0,9,0
MKT-0298,Wajir,Dry Season,Cattle,12,69.2,6.2,0,0,5,0
MKT-0299,Narok,Long Rains,Camels,11,38.2,4.0,2,1,2,1
MKT-0300,Wajir,Long Rains,Camels,10,18.2,3.7,3,0,1,0
MKT-0301,Laikipia,Dry Season,Cattle,21,18.5,3.9,1,0,5,0
MKT-0302,Mandera,Short Rains,Cattle,15,21.6,7.6,1,0,3,0
MKT-0303,Narok,Long Rains,Camels,10,65.6,0.5,4,1,5,0
MKT-0304,Marsabit,Dry Season,Mixed,18,33.1,4.3,1,0,8,0
MKT-0305,Kajiado,Short Rains,Sheep,10,39.5,6.6,2,0,4,1
MKT-0306,Isiolo,Long Rains,Mixed,10,30.0,12.3,1,1,6,1
MKT-0307,Baringo,Dry Season,Sheep,10,47.3,6.0,2,1,8,0
MKT-0308,Laikipia,Short Rains,Goats,10,14.1,20.8,1,0,3,0
MKT-0309,Kajiado,Long Rains,Goats,28,32.9,4.7,2,0,10,0
MKT-0310,Isiolo,Long Rains,Mixed,11,28.4,8.4,1,0,8,0
MKT-0311,Narok,Dry Season,Camels,10,20.4,0.5,2,0,1,0
MKT-0312,Laikipia,Dry Season,Cattle,16,18.1,2.2,1,0,10,1
MKT-0313,Marsabit,Dry Season,Goats,14,49.2,13.5,2,0,4,1
MKT-0314,Laikipia,Long Rains,Camels,12,40.1,7.1,0,0,6,0
MKT-0315,West Pokot,Dry Season,Camels,10,75.8,23.4,1,2,4,1
MKT-0316,Narok,Dry Season,Sheep,10,46.3,11.2,2,0,7,0
MKT-0317,Kajiado,Long Rains,Goats,15,47.2,4.8,2,1,4,0
MKT-0318,West Pokot,Dry Season,Mixed,17,12.6,12.1,1,2,6,1
MKT-0319,Wajir,Dry Season,Camels,10,46.7,5.0,2,1,10,0
MKT-0320,Garissa,Short Rains,Mixed,15,59.8,3.2,0,0,4,0
MKT-0321,Samburu,Dry Season,Mixed,10,4.4,0.5,3,0,6,1
MKT-0322,Laikipia,Dry Season,Goats,33,20.5,16.1,1,1,8,0
MKT-0323,West Pokot,Long Rains,Mixed,10,41.6,4.3,2,0,2,0
MKT-0324,Laikipia,Dry Season,Mixed,10,14.5,9.2,3,1,5,1
MKT-0325,Turkana,Dry Season,Cattle,17,61.8,1.3,2,0,7,0
MKT-0326,Garissa,Dry Season,Mixed,11,7.5,14.1,1,0,5,1
MKT-0327,Mandera,Short Rains,Cattle,10,65.7,13.9,3,2,7,1
MKT-0328,Mandera,Long Rains,Goats,10,76.2,5.3,1,0,3,0
MKT-0329,Marsabit,Long Rains,Mixed,29,58.9,8.9,3,0,4,0
MKT-0330,Baringo,Dry Season,Camels,12,18.8,5.9,0,0,5,1
MKT-0331,Turkana,Long Rains,Mixed,25,37.1,6.4,0,1,3,0
MKT-0332,Garissa,Short Rains,Cattle,11,60.9,17.6,0,0,6,0
MKT-0333,Garissa,Long Rains,Camels,10,26.2,27.3,1,0,10,0
MKT-0334,Marsabit,Long Rains,Goats,17,11.7,3.7,4,0,7,1
MKT-0335,Narok,Dry Season,Sheep,19,21.6,3.2,3,2,6,0
MKT-0336,Samburu,Dry Season,Sheep,10,21.5,2.9,3,1,6,1
MKT-0337,Marsabit,Long Rains,Cattle,10,85.2,11.8,1,0,5,0
